[ 2025-03-18 21:40:25,919 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-03-18 21:40:27,515 ] 28 root - INFO - Initiate the data ingestion
[ 2025-03-18 21:40:28,864 ] 68 root - INFO - Performed train test split on the dataframe
[ 2025-03-18 21:40:28,864 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-18 21:40:28,864 ] 78 root - INFO - Exporting train and test file path.
[ 2025-03-18 21:40:28,924 ] 87 root - INFO - Exported train and test file path.
[ 2025-03-18 21:40:28,928 ] 30 root - INFO - Data Initiation Completed
[ 2025-03-18 21:40:28,931 ] 34 root - INFO - Initiate the data Validation
[ 2025-03-18 21:40:28,953 ] 32 root - INFO - Required number of columns:2
[ 2025-03-18 21:40:28,953 ] 33 root - INFO - Data frame has columns:14
[ 2025-03-18 21:40:28,953 ] 32 root - INFO - Required number of columns:2
[ 2025-03-18 21:40:28,953 ] 33 root - INFO - Data frame has columns:14
[ 2025-03-18 21:40:29,143 ] 36 root - INFO - data Validation Completed
[ 2025-03-18 21:40:29,143 ] 39 root - INFO - data Transformation started
[ 2025-03-18 21:40:29,143 ] 203 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-18 21:40:29,143 ] 205 root - INFO - Starting data transformation
[ 2025-03-18 21:40:29,165 ] 161 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2025-03-18 21:40:29,166 ] 194 root - INFO - Created preprocessing pipeline for numerical and categorical features
[ 2025-03-18 21:40:29,166 ] 221 root - INFO - Fitting preprocessor on training data
